cell,tag,env,engine,l_min,n_qtn,n_markers,alpha_n,alpha_tp,C_n,C_tp
V2_c1,bgs,2,lfmm,3,13,233274,22,4,37,5
V2_c1,bgs,2,lfmm,5,13,233274,15,4,24,5
V2_c1,bgs,2,lfmm,10,13,233274,8,3,12,5
V2_c1,bgs,2,lfmm,20,13,233274,6,3,10,4
V2_c1,bgs,3,emmax,2,14,235796,9,5,11,5
V2_c1,bgs,3,emmax,3,14,235796,6,5,11,5
V2_c1,bgs,3,emmax,5,14,235796,5,5,7,5
V2_c1,bgs,3,emmax,10,14,235796,4,4,6,5
V2_c1,bgs,3,emmax,20,14,235796,1,1,4,3
V2_c1,bgs,3,lfmm,2,14,235796,21,7,48,11
V2_c1,bgs,3,lfmm,3,14,235796,14,6,37,10
V2_c1,bgs,3,lfmm,5,14,235796,11,6,30,10
V2_c1,bgs,3,lfmm,10,14,235796,9,6,17,9
V2_c1,bgs,3,lfmm,20,14,235796,5,3,10,6
V2_c1,bgs,4,emmax,2,10,234231,4,4,11,7
V2_c1,bgs,4,emmax,3,10,234231,4,4,10,7
V2_c1,bgs,4,emmax,5,10,234231,4,4,9,7
V2_c1,bgs,4,emmax,10,10,234231,3,3,6,5
V2_c1,bgs,4,emmax,20,10,234231,0,0,4,4
V2_c1,bgs,4,lfmm,2,10,234231,5,5,12,8
V2_c1,bgs,4,lfmm,3,10,234231,5,5,7,6
V2_c1,bgs,4,lfmm,5,10,234231,4,4,6,6
V2_c1,bgs,4,lfmm,10,10,234231,4,4,6,6
V2_c1,bgs,4,lfmm,20,10,234231,1,1,4,4
V2_c1,bgs,5,emmax,2,9,229858,2,1,4,2
V2_c1,bgs,5,emmax,3,9,229858,2,1,3,2
V2_c1,bgs,5,emmax,5,9,229858,1,0,2,2
V2_c1,bgs,5,emmax,10,9,229858,0,0,2,2
V2_c1,bgs,5,emmax,20,9,229858,0,0,1,1
V2_c1,bgs,5,lfmm,2,9,229858,4,3,7,3
V2_c1,bgs,5,lfmm,3,9,229858,3,3,5,3
V2_c1,bgs,5,lfmm,5,9,229858,3,3,4,3
V2_c1,bgs,5,lfmm,10,9,229858,2,2,3,3
V2_c1,bgs,5,lfmm,20,9,229858,1,1,1,1
V2_c1,bgs,6,emmax,2,12,234855,18,4,22,4
V2_c1,bgs,6,emmax,3,12,234855,11,3,15,3
V2_c1,bgs,6,emmax,5,12,234855,8,3,11,3
V2_c1,bgs,6,emmax,10,12,234855,2,1,4,2
V2_c1,bgs,6,emmax,20,12,234855,1,1,1,1
V2_c1,bgs,6,lfmm,2,12,234855,30,6,53,7
V2_c1,bgs,6,lfmm,3,12,234855,18,6,33,6
V2_c1,bgs,6,lfmm,5,12,234855,13,5,23,5
V2_c1,bgs,6,lfmm,10,12,234855,9,3,12,4
V2_c1,bgs,6,lfmm,20,12,234855,1,1,6,2
V2_c1,bgs,7,emmax,2,15,233384,7,4,13,6
V2_c1,bgs,7,emmax,3,15,233384,5,4,9,6
V2_c1,bgs,7,emmax,5,15,233384,4,3,7,6
V2_c1,bgs,7,emmax,10,15,233384,3,3,5,5
V2_c1,bgs,7,emmax,20,15,233384,3,3,3,3
V2_c1,bgs,7,lfmm,2,15,233384,12,6,14,6
V2_c1,bgs,7,lfmm,3,15,233384,8,6,9,6
V2_c1,bgs,7,lfmm,5,15,233384,5,5,5,5
V2_c1,bgs,7,lfmm,10,15,233384,5,5,5,5
V2_c1,bgs,7,lfmm,20,15,233384,3,3,4,4
V2_c1,bgs,8,emmax,2,11,234127,10,2,18,2
V2_c1,bgs,8,emmax,3,11,234127,7,2,12,2
V2_c1,bgs,8,emmax,5,11,234127,3,1,6,2
V2_c1,bgs,8,emmax,10,11,234127,1,1,3,1
V2_c1,bgs,8,emmax,20,11,234127,1,1,2,1
V2_c1,bgs,8,lfmm,2,11,234127,23,5,41,6
V2_c1,bgs,8,lfmm,3,11,234127,16,4,29,5
V2_c1,bgs,8,lfmm,5,11,234127,11,4,19,4
V2_c1,bgs,8,lfmm,10,11,234127,4,1,10,3
V2_c1,bgs,8,lfmm,20,11,234127,1,1,6,1
V2_c1,bgs,9,emmax,2,11,235478,0,0,0,0
V2_c1,bgs,9,emmax,3,11,235478,0,0,0,0
V2_c1,bgs,9,emmax,5,11,235478,0,0,0,0
V2_c1,bgs,9,emmax,10,11,235478,0,0,0,0
V2_c1,bgs,9,emmax,20,11,235478,0,0,0,0
V2_c1,bgs,9,lfmm,2,11,235478,0,0,1,0
V2_c1,bgs,9,lfmm,3,11,235478,0,0,1,0
V2_c1,bgs,9,lfmm,5,11,235478,0,0,1,0
V2_c1,bgs,9,lfmm,10,11,235478,0,0,1,0
V2_c1,bgs,9,lfmm,20,11,235478,0,0,0,0
V2_c1,bgs,10,emmax,2,14,234890,6,4,10,4
V2_c1,bgs,10,emmax,3,14,234890,3,3,6,3
V2_c1,bgs,10,emmax,5,14,234890,3,3,4,3
V2_c1,bgs,10,emmax,10,14,234890,3,3,4,3
V2_c1,bgs,10,emmax,20,14,234890,2,2,2,2
V2_c1,bgs,10,lfmm,2,14,234890,17,5,21,5
V2_c1,bgs,10,lfmm,3,14,234890,12,4,13,4
V2_c1,bgs,10,lfmm,5,14,234890,7,4,9,4
V2_c1,bgs,10,lfmm,10,14,234890,3,3,4,3
V2_c1,bgs,10,lfmm,20,14,234890,2,2,2,2
V2_c1,nobgs,1,emmax,2,10,299673,10,3,27,6
V2_c1,nobgs,1,emmax,3,10,299673,9,3,20,6
V2_c1,nobgs,1,emmax,5,10,299673,7,3,16,6
V2_c1,nobgs,1,emmax,10,10,299673,6,3,12,6
V2_c1,nobgs,1,emmax,20,10,299673,4,3,6,5
V2_c1,nobgs,1,lfmm,2,10,299673,3,1,16,5
V2_c1,nobgs,1,lfmm,3,10,299673,3,1,14,5
V2_c1,nobgs,1,lfmm,5,10,299673,3,1,10,5
V2_c1,nobgs,1,lfmm,10,10,299673,2,1,7,4
V2_c1,nobgs,1,lfmm,20,10,299673,1,1,5,4
V2_c1,nobgs,2,emmax,2,11,304684,15,3,27,7
V2_c1,nobgs,2,emmax,3,11,304684,9,3,15,6
V2_c1,nobgs,2,emmax,5,11,304684,6,3,10,5
V2_c1,nobgs,2,emmax,10,11,304684,3,2,9,5
V2_c1,nobgs,2,emmax,20,11,304684,3,2,5,4
V2_c1,nobgs,2,lfmm,2,11,304684,14,7,27,9
V2_c1,nobgs,2,lfmm,3,11,304684,11,7,21,9
V2_c1,nobgs,2,lfmm,5,11,304684,8,5,16,7
V2_c1,nobgs,2,lfmm,10,11,304684,5,4,10,7
V2_c1,nobgs,2,lfmm,20,11,304684,3,3,8,6
V2_c1,nobgs,3,emmax,2,16,298956,20,9,44,11
V2_c1,nobgs,3,emmax,3,16,298956,15,8,30,11
V2_c1,nobgs,3,emmax,5,16,298956,12,8,22,10
V2_c1,nobgs,3,emmax,10,16,298956,8,8,14,9
V2_c1,nobgs,3,emmax,20,16,298956,6,6,10,9
V2_c1,nobgs,3,lfmm,2,16,298956,25,9,52,14
V2_c1,nobgs,3,lfmm,3,16,298956,18,8,40,13
V2_c1,nobgs,3,lfmm,5,16,298956,16,8,31,13
V2_c1,nobgs,3,lfmm,10,16,298956,10,8,19,12
V2_c1,nobgs,3,lfmm,20,16,298956,7,7,15,12
V2_c1,nobgs,4,emmax,2,10,304694,7,5,21,8
V2_c1,nobgs,4,emmax,3,10,304694,6,5,14,7
V2_c1,nobgs,4,emmax,5,10,304694,5,5,11,7
V2_c1,nobgs,4,emmax,10,10,304694,5,5,6,6
V2_c1,nobgs,4,emmax,20,10,304694,3,3,6,6
V2_c1,nobgs,4,lfmm,2,10,304694,10,6,26,10
V2_c1,nobgs,4,lfmm,3,10,304694,7,5,20,8
V2_c1,nobgs,4,lfmm,5,10,304694,5,5,13,6
V2_c1,nobgs,4,lfmm,10,10,304694,5,5,7,5
V2_c1,nobgs,4,lfmm,20,10,304694,5,5,6,5
V2_c1,nobgs,5,emmax,2,14,304589,8,6,17,6
V2_c1,nobgs,5,emmax,3,14,304589,8,6,14,6
V2_c1,nobgs,5,emmax,5,14,304589,6,5,11,6
V2_c1,nobgs,5,emmax,10,14,304589,4,4,6,5
V2_c1,nobgs,5,emmax,20,14,304589,4,4,6,5
V2_c1,nobgs,5,lfmm,2,14,304589,5,4,15,7
V2_c1,nobgs,5,lfmm,3,14,304589,4,4,14,7
V2_c1,nobgs,5,lfmm,5,14,304589,3,3,10,7
V2_c1,nobgs,5,lfmm,10,14,304589,3,3,6,6
V2_c1,nobgs,5,lfmm,20,14,304589,2,2,5,5
V2_c1,nobgs,6,emmax,2,11,307147,26,4,49,5
V2_c1,nobgs,6,emmax,3,11,307147,15,4,30,5
V2_c1,nobgs,6,emmax,5,11,307147,12,4,22,5
V2_c1,nobgs,6,emmax,10,11,307147,9,4,14,5
V2_c1,nobgs,6,emmax,20,11,307147,3,2,5,3
V2_c1,nobgs,6,lfmm,2,11,307147,44,4,62,6
V2_c1,nobgs,6,lfmm,3,11,307147,33,3,42,4
V2_c1,nobgs,6,lfmm,5,11,307147,21,3,29,4
V2_c1,nobgs,6,lfmm,10,11,307147,11,3,16,4
V2_c1,nobgs,6,lfmm,20,11,307147,6,3,7,3
V2_c1,nobgs,7,emmax,2,15,298200,1,1,23,7
V2_c1,nobgs,7,emmax,3,15,298200,1,1,21,6
V2_c1,nobgs,7,emmax,5,15,298200,0,0,15,6
V2_c1,nobgs,7,emmax,10,15,298200,0,0,10,5
V2_c1,nobgs,7,emmax,20,15,298200,0,0,6,4
V2_c1,nobgs,7,lfmm,2,15,298200,3,2,9,6
V2_c1,nobgs,7,lfmm,3,15,298200,2,2,7,5
V2_c1,nobgs,7,lfmm,5,15,298200,2,2,5,4
V2_c1,nobgs,7,lfmm,10,15,298200,0,0,4,4
V2_c1,nobgs,7,lfmm,20,15,298200,0,0,3,3
V2_c1,nobgs,8,emmax,2,16,303448,20,5,28,6
V2_c1,nobgs,8,emmax,3,16,303448,13,5,20,6
V2_c1,nobgs,8,emmax,5,16,303448,11,5,15,6
V2_c1,nobgs,8,emmax,10,16,303448,4,3,9,6
V2_c1,nobgs,8,emmax,20,16,303448,4,3,5,4
V2_c1,nobgs,8,lfmm,2,16,303448,29,7,51,7
V2_c1,nobgs,8,lfmm,3,16,303448,16,7,31,7
V2_c1,nobgs,8,lfmm,5,16,303448,12,6,19,7
V2_c1,nobgs,8,lfmm,10,16,303448,8,6,12,7
V2_c1,nobgs,8,lfmm,20,16,303448,6,5,8,5
V2_c1,nobgs,10,emmax,2,13,302347,24,6,35,8
V2_c1,nobgs,10,emmax,3,13,302347,16,6,26,7
V2_c1,nobgs,10,emmax,5,13,302347,11,5,16,5
V2_c1,nobgs,10,emmax,10,13,302347,7,4,11,5
V2_c1,nobgs,10,emmax,20,13,302347,5,4,7,4
V2_c1,nobgs,10,lfmm,2,13,302347,27,5,35,5
V2_c1,nobgs,10,lfmm,3,13,302347,20,4,25,5
V2_c1,nobgs,10,lfmm,5,13,302347,14,4,18,4
V2_c1,nobgs,10,lfmm,10,13,302347,9,4,12,4
V2_c1,nobgs,10,lfmm,20,13,302347,6,3,9,3
