chr,lo,hi,id,size,s_R,n_null_ge,p_R,q_R,sig,c2,has_qtn,on_qtn_free
R5_Chr1,3578094,9429213,12,1229,1129.34999999999,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R8_Chr1,16441594,17113023,20,126,83.3225,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R2_Chr1,19264360,19720156,3,54,50.4725,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R3_Chr1,203744,683491,6,50,33.6875,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R4_Chr1,6925746,7350675,10,48,33.445,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R2_Chr1,19843412,20754374,4,36,29.845,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R2_Chr1,20866327,21326365,5,28,25.1275,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R1_Chr1,21168212,21840998,2,39,23.895,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R7_Chr1,8108575,8250950,17,11,7.635,0,0.0099009900990099,0.0099009900990099,TRUE,0.766666666666667,TRUE,FALSE
R1_Chr1,1458669,1573020,1,6,2.895,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,FALSE
R6_Chr2,316222,371870,15,5,2.67,0,0.0099009900990099,0.0099009900990099,TRUE,0.533333333333333,FALSE,TRUE
R4_Chr2,32168678,32199758,11,4,1.9825,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R8_Chr1,18131234,18183477,21,3,1.785,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R3_Chr1,16346324,16397006,8,11,1.65,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R7_Chr2,8748892,8814258,18,4,1.54,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R10_Chr1,1869267,1884630,24,3,1.0325,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R8_Chr1,3430692,3435660,19,3,0.745,0,0.0099009900990099,0.0099009900990099,TRUE,0.266666666666667,FALSE,FALSE
R6_Chr2,406735,413395,16,3,0.6725,0,0.0099009900990099,0.0099009900990099,TRUE,0.266666666666667,FALSE,TRUE
R9_Chr1,2779893,2801564,22,6,0.795,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,FALSE
R3_Chr1,10770631,10807610,7,4,0.515,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,FALSE
R3_Chr2,10474157,10548205,9,3,0.4525,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,TRUE
R5_Chr2,13108131,13131212,14,3,0.4075,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,TRUE
R10_Chr1,16490847,16506446,25,3,0.3675,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,FALSE
R9_Chr2,17320667,17326007,23,3,0.3925,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,TRUE
R5_Chr2,9996823,10033375,13,3,0.3675,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,TRUE
