chr,lo,hi,id,size,s_R,n_null_ge,p_R,q_R,sig,c2,has_qtn,on_qtn_free
R6_Chr1,16005239,18374737,7,291,179.8875,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R10_Chr1,10638821,12592982,13,225,128.0925,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R10_Chr1,10297715,10825213,12,52,25.485,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R4_Chr1,6950926,7091010,4,13,9.98,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,TRUE,FALSE
R3_Chr1,8572538,8794619,1,11,9.86,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,FALSE,FALSE
R9_Chr1,1209524,1321807,11,10,7.26,0,0.0099009900990099,0.0099009900990099,TRUE,0.633333333333333,TRUE,FALSE
R8_Chr1,5220178,5330766,9,9,8.395,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,TRUE,FALSE
R3_Chr2,125841,241710,2,9,3.265,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R10_Chr2,12255928,12387596,15,6,2.6175,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R3_Chr2,8002088,8005829,3,3,1.42,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R8_Chr1,16341213,16366279,10,3,0.9325,0,0.0099009900990099,0.0099009900990099,TRUE,0.366666666666667,FALSE,FALSE
R6_Chr1,18513959,18843865,8,16,2.0125,0,0.0099009900990099,0.0099009900990099,TRUE,0.233333333333333,FALSE,FALSE
R6_Chr1,6355600,6382383,6,3,0.3675,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,FALSE
R4_Chr1,22900838,22945902,5,3,0.425,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,FALSE
R10_Chr2,11182643,11220593,14,4,0.35,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,TRUE
