chr,lo,hi,id,size,s_R,n_null_ge,p_R,q_R,sig,c2,has_qtn,on_qtn_free
R2_Chr1,4869851,8951164,8,378,206.207499999999,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R9_Chr1,6022553,9244286,24,172,137.35,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R9_Chr1,3275479,5871719,23,148,116.855,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R9_Chr1,9398239,10121669,25,85,61.9925,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R2_Chr1,3755342,4715350,7,87,47.07,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R10_Chr1,13618182,14130444,27,26,10.5725,0,0.0099009900990099,0.0099009900990099,TRUE,0.833333333333333,TRUE,FALSE
R5_Chr1,3354112,3511353,16,23,10.485,0,0.0099009900990099,0.0099009900990099,TRUE,0.833333333333333,FALSE,FALSE
R3_Chr1,11413554,11619325,12,15,11.06,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,TRUE,FALSE
R5_Chr2,14081542,14176867,18,10,5.5225,0,0.0099009900990099,0.0099009900990099,TRUE,0.633333333333333,FALSE,TRUE
R2_Chr2,22530940,22599850,11,8,3.87,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R1_Chr1,13182845,13312495,1,9,3.855,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,FALSE
R9_Chr1,2181043,2272827,22,9,3.815,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,FALSE
R1_Chr2,26868485,26985928,6,6,2.915,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R4_Chr2,14798114,14860641,15,6,2.2925,0,0.0099009900990099,0.0099009900990099,TRUE,0.5,FALSE,TRUE
R1_Chr2,9040464,9243605,4,5,1.6925,0,0.0099009900990099,0.0099009900990099,TRUE,0.466666666666667,FALSE,TRUE
R2_Chr1,11959692,11963805,9,3,1.665,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R1_Chr1,27054876,27072721,3,4,1.5125,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R2_Chr1,22547893,22555385,10,3,1.47,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R8_Chr2,15201847,15219375,21,3,1.3775,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R8_Chr1,11280147,11378306,20,4,1.04,0,0.0099009900990099,0.0099009900990099,TRUE,0.266666666666667,FALSE,FALSE
R10_Chr2,3685256,3772777,28,3,0.95,0,0.0099009900990099,0.0099009900990099,TRUE,0.233333333333333,FALSE,TRUE
R5_Chr1,15017950,15208376,17,10,0.9375,0,0.0099009900990099,0.0099009900990099,TRUE,0.166666666666667,FALSE,FALSE
R9_Chr1,18697423,18880178,26,12,0.9825,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,FALSE
R1_Chr1,15430940,15439155,2,3,0.7025,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,FALSE
R7_Chr1,12224208,12224598,19,3,0.51,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,FALSE
R4_Chr1,1601493,1674591,14,3,0.32,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,TRUE,FALSE
R1_Chr2,9349007,9397501,5,6,0.35,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,TRUE
R3_Chr2,3923150,3962906,13,3,0.24,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,TRUE
