chr,lo,hi,id,size,s_R,n_null_ge,p_R,q_R,sig,c2,has_qtn,on_qtn_free
R5_Chr1,3560783,9365963,46,1938,1835.66750000001,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R4_Chr1,23882375,25856006,36,761,536.724999999999,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R2_Chr1,3685085,8955632,15,569,534.102499999999,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R7_Chr1,5663022,7097915,59,258,239.277500000001,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R8_Chr1,12458444,14553056,72,242,183.302500000001,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R10_Chr1,9436308,10240099,85,143,70.6175,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R6_Chr1,10352076,10795586,53,51,35.6425,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R9_Chr1,15636525,15880727,80,42,32.365,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R10_Chr1,900380,1524975,84,43,31.3075,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R3_Chr1,3268190,3560184,22,41,25.715,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R2_Chr1,11256967,11532183,16,35,25.015,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R10_Chr1,9765918,9894756,89,11,1.645,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R10_Chr1,10618322,10900651,86,24,6.895,0,0.0099009900990099,0.0099009900990099,TRUE,0.833333333333333,FALSE,FALSE
R9_Chr2,10276551,10387758,83,17,12.71,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,FALSE,TRUE
R8_Chr2,17573609,17665872,77,17,7.6575,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,FALSE,TRUE
R5_Chr1,14686386,14874367,49,11,7.0425,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,FALSE,FALSE
R3_Chr1,6059594,6124406,23,13,5.555,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,FALSE,FALSE
R6_Chr2,6616796,6640248,57,10,4.35,0,0.0099009900990099,0.0099009900990099,TRUE,0.766666666666667,FALSE,TRUE
R6_Chr1,12209623,12320238,54,10,5.555,0,0.0099009900990099,0.0099009900990099,TRUE,0.7,FALSE,FALSE
R1_Chr2,12708425,12839022,7,12,5.8225,0,0.0099009900990099,0.0099009900990099,TRUE,0.666666666666667,FALSE,TRUE
R1_Chr2,19809602,19890074,12,10,3.935,0,0.0099009900990099,0.0099009900990099,TRUE,0.633333333333333,FALSE,TRUE
R5_Chr1,9839847,9910373,48,10,3.6925,0,0.0099009900990099,0.0099009900990099,TRUE,0.633333333333333,FALSE,FALSE
R6_Chr2,10508187,10565815,58,9,4.66,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R5_Chr1,9380856,9408037,47,7,3.6325,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,FALSE
R1_Chr2,11636779,11832491,6,6,3.49,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R3_Chr1,13904718,13936332,26,7,2.85,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,FALSE
R1_Chr2,3422799,3502078,3,7,2.7575,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
