chr,lo,hi,id,size,s_R,n_null_ge,p_R,q_R,sig,c2,has_qtn,on_qtn_free
R9_Chr1,3302948,10162366,22,724,600.482499999998,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R8_Chr1,16364498,17115455,21,159,153.5575,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R1_Chr1,11379292,12263870,1,83,47.9025,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R4_Chr1,14708774,15003112,7,29,23.06,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R7_Chr1,12241977,12338754,18,22,18.7575,0,0.0099009900990099,0.0099009900990099,TRUE,1,FALSE,FALSE
R5_Chr1,13395819,13510520,12,20,17.98,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R6_Chr1,10598313,10743234,13,22,11.74,0,0.0099009900990099,0.0099009900990099,TRUE,0.966666666666667,TRUE,FALSE
R9_Chr1,13017723,13271362,26,28,15.045,0,0.0099009900990099,0.0099009900990099,TRUE,0.933333333333333,TRUE,FALSE
R3_Chr1,2684878,2970815,4,29,16.025,0,0.0099009900990099,0.0099009900990099,TRUE,0.9,TRUE,FALSE
R9_Chr1,10492087,10669034,24,28,5.5,0,0.0099009900990099,0.0099009900990099,TRUE,0.733333333333333,FALSE,FALSE
R10_Chr1,2622951,2879075,29,15,5.2275,0,0.0099009900990099,0.0099009900990099,TRUE,0.666666666666667,TRUE,FALSE
R5_Chr1,9277037,9342267,11,6,3.1,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,FALSE
R7_Chr1,17368711,17432529,19,6,2.245,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,FALSE
R9_Chr1,12824352,12891392,25,7,2.185,0,0.0099009900990099,0.0099009900990099,TRUE,0.566666666666667,FALSE,FALSE
R7_Chr1,1123618,1141737,17,4,2.8275,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R6_Chr1,13788850,13795478,14,4,2.6525,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R1_Chr1,17412016,17466229,2,4,2.215,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R2_Chr1,21869889,21982414,3,9,1.7725,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,TRUE,FALSE
R4_Chr1,26827139,26840776,9,3,1.6075,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R9_Chr1,14159873,14186733,27,4,1.4825,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R4_Chr2,20637653,20651114,10,3,1.1875,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,TRUE
R10_Chr2,8926097,8962131,30,3,0.94,0,0.0099009900990099,0.0099009900990099,TRUE,0.366666666666667,FALSE,TRUE
R8_Chr1,14141684,14332753,20,15,2.87,0,0.0099009900990099,0.0099009900990099,TRUE,0.3,FALSE,FALSE
R9_Chr1,10312089,10371411,23,14,1.9175,0,0.0099009900990099,0.0099009900990099,TRUE,0.266666666666667,FALSE,FALSE
R4_Chr1,5534471,5550414,6,3,1.4075,0,0.0099009900990099,0.0099009900990099,TRUE,0.233333333333333,FALSE,FALSE
R6_Chr2,10456560,10468450,16,3,0.49,0,0.0099009900990099,0.0099009900990099,TRUE,0.133333333333333,FALSE,TRUE
R10_Chr1,2276300,2367775,28,8,0.7175,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,FALSE
R4_Chr1,23784666,23827386,8,4,0.595,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,FALSE
R6_Chr2,523761,533149,15,3,0.4575,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,TRUE
R3_Chr1,3087382,3100961,5,3,0.225,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,FALSE
