chr,lo,hi,id,size,s_R,n_null_ge,p_R,q_R,sig,c2,has_qtn,on_qtn_free
R9_Chr1,3194056,10381365,13,950,876.457499999995,0,0.0099009900990099,0.0099009900990099,TRUE,1,TRUE,FALSE
R10_Chr1,14469259,14675750,15,18,11.3975,0,0.0099009900990099,0.0099009900990099,TRUE,0.8,TRUE,FALSE
R10_Chr2,768097,873069,17,9,3.675,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,TRUE
R4_Chr1,5144478,5317040,6,7,3.2525,0,0.0099009900990099,0.0099009900990099,TRUE,0.6,FALSE,FALSE
R8_Chr1,14074693,14475664,11,29,4.7725,0,0.0099009900990099,0.0099009900990099,TRUE,0.5,FALSE,FALSE
R7_Chr1,12122171,12326927,10,6,2.595,0,0.0099009900990099,0.0099009900990099,TRUE,0.5,TRUE,FALSE
R10_Chr1,16323738,16336468,16,3,1.5075,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R2_Chr1,19291791,19299570,2,3,1.0825,0,0.0099009900990099,0.0099009900990099,TRUE,0.4,FALSE,FALSE
R4_Chr1,23833055,23853381,7,3,1.2175,0,0.0099009900990099,0.0099009900990099,TRUE,0.266666666666667,FALSE,FALSE
R3_Chr2,14680871,14896445,3,16,1.53,0,0.0099009900990099,0.0099009900990099,TRUE,0.2,FALSE,TRUE
R6_Chr1,7349882,7424263,8,4,0.595,0,0.0099009900990099,0.0099009900990099,TRUE,0.166666666666667,FALSE,FALSE
R3_Chr2,17861620,17873388,4,3,0.545,0,0.0099009900990099,0.0099009900990099,TRUE,0.166666666666667,FALSE,TRUE
R4_Chr1,533480,546573,5,3,0.475,0,0.0099009900990099,0.0099009900990099,TRUE,0.166666666666667,FALSE,FALSE
R6_Chr2,12825164,12885300,9,8,0.5925,0,0.0099009900990099,0.0099009900990099,TRUE,0.1,FALSE,TRUE
R1_Chr2,1448429,1475937,1,3,0.88,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,TRUE
R10_Chr1,7525749,7538103,14,4,0.205,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,FALSE
R8_Chr1,15296686,15319145,12,3,0.1675,0,0.0099009900990099,0.0099009900990099,TRUE,0.0666666666666667,FALSE,FALSE
