w,file,Chr,a,c,contrast,regime,cMMb,span
5,1,Chr1,4.44034993473862e-06,0.999999999999976,0.970627527589821,structured,3.77813272787561,5977850.4
5,1,Chr1,1.26937413693599e-06,0.999999999999983,0.970627527589829,structured,2.04228931523612,5977850.4
5,1,Chr1,5.55433856550922e-06,1,0.970627527589846,structured,1.35342469430218,5977850.4
5,1,Chr1,8.9706488752279e-06,0.985728015109973,0.956355542699819,structured,1.16963337491109,5977850.4
5,1,Chr1,2.04162331774302e-05,1,0.970627527589846,structured,2.1045027781373,5977850.4
5,1,Chr1,4.19224675652532e-05,1,0.970627527589846,structured,3.07688356908203,5977850.4
5,1,Chr1,7.34774647799491e-05,0.989853487513995,0.960481015103841,structured,4.44259075622024,5977850.4
5,1,Chr1,0.000207132296045655,0.99999999999998,0.970627527589825,structured,6.48087736791572,5977850.4
5,1,Chr2,1.16912577992357e-06,0.993310244395977,0.963937771985823,structured,3.78156901317031,5978338.6
5,1,Chr2,8.38534051891972e-07,1,0.970627527589846,structured,1.99209355258466,5978338.6
5,1,Chr2,8.31278310166048e-06,0.99065717677064,0.961284704360486,structured,1.3502441372246,5978338.6
5,1,Chr2,1.45373525564809e-05,0.995972157279076,0.966599684868922,structured,1.17027618992039,5978338.6
5,1,Chr2,2.77917767287825e-05,0.997887228559025,0.96851475614887,structured,2.11263063662925,5978338.6
5,1,Chr2,6.78876050964703e-05,1,0.970627527589846,structured,3.08519200815437,5978338.6
5,1,Chr2,5.4910577277238e-05,0.981942114667688,0.952569642257533,structured,4.44074312710005,5978338.6
5,1,Chr2,8.16227922110384e-05,1,0.970627527589846,structured,6.53663749749149,5978338.6
10,1,Chr1,1.47805856068689e-05,0.935089571501755,0.9057170990916,structured,5.5043197467772,2988925.2
10,1,Chr1,1.33137735239553e-06,1,0.970627527589846,structured,4.36107187372366,2988925.2
10,1,Chr1,6.33006561607737e-07,0.997097182057429,0.967724709647274,structured,2.05194570897403,2988925.2
10,1,Chr1,7.41856773753773e-06,0.893120516432136,0.863748044021981,structured,2.34777570689031,2988925.2
10,1,Chr1,8.02691001449792e-06,0.969109886085035,0.93973741367488,structured,2.02784276776287,2988925.2
10,1,Chr1,6.35419801909384e-06,0.99999999999998,0.970627527589825,structured,0.695868768002964,2988925.2
10,1,Chr1,5.69890758884656e-06,0.999999999999986,0.970627527589832,structured,0.679006620841501,2988925.2
10,1,Chr1,1.07204371431075e-05,1,0.970627527589846,structured,0.900781870857072,2988925.2
10,1,Chr1,1.0915485770587e-05,0.986038756976957,0.956666284566803,structured,1.66026012898069,2988925.2
10,1,Chr1,2.94732558734922e-05,0.955032394271089,0.925659921860935,structured,2.54934377082715,2988925.2
10,1,Chr1,2.49068389546757e-05,1,0.970627527589846,structured,2.54329464737111,2988925.2
10,1,Chr1,2.78159825936721e-05,1,0.970627527589846,structured,2.69727692409029,2988925.2
10,1,Chr1,4.20485861338531e-05,0.9721389658091,0.942766493398945,structured,3.60815527790273,2988925.2
10,1,Chr1,7.07602021608446e-05,0.964846406015956,0.935473933605802,structured,4.4996998601575,2988925.2
10,1,Chr1,9.68293322178864e-05,1,0.970627527589846,structured,5.27641386720755,2988925.2
10,1,Chr1,7.1354656474638e-05,0.970816574919261,0.941444102509106,structured,4.78595661457945,2988925.2
10,1,Chr1,6.62830115535981e-05,0.809803917175273,0.780431444765118,structured,7.68397572366307,2988925.2
10,1,Chr1,0.00011123644017961,0.964682009837426,0.935309537427272,structured,10.024341505091,2988925.2
10,1,Chr2,3.19024644039168e-05,0.955429503423642,0.926057031013488,structured,5.59658511283053,2989169.3
10,1,Chr2,1.95446309896206e-06,1,0.970627527589846,structured,4.3550561916147,2989169.3
10,1,Chr2,5.32150707940935e-07,1,0.970627527589846,structured,1.95439302146194,2989169.3
10,1,Chr2,4.98357245426617e-06,1,0.970627527589846,structured,2.35288791813724,2989169.3
10,1,Chr2,7.02424615751087e-06,1,0.970627527589846,structured,2.02635387876265,2989169.3
10,1,Chr2,4.71659150050328e-06,0.992828060865167,0.963455588455013,structured,0.683356522009868,2989169.3
10,1,Chr2,4.60233107536884e-06,0.957506698459285,0.928134226049131,structured,0.672643425462643,2989169.3
10,1,Chr2,1.20649128757022e-05,0.948149687142908,0.918777214732754,structured,1.0188449346111,2989169.3
10,1,Chr2,1.16832141131785e-05,0.965875890685229,0.936503418275075,structured,1.66790895437815,2989169.3
10,1,Chr2,3.56051344641506e-05,0.95408688399935,0.924714411589195,structured,2.5515311131078,2989169.3
10,1,Chr2,3.85217344710496e-05,1,0.970627527589846,structured,2.5525112428776,2989169.3
10,1,Chr2,3.79073728192989e-05,1,0.970627527589846,structured,2.75682275292925,2989169.3
10,1,Chr2,0.000135692328178554,0.999999999999985,0.97062752758983,structured,3.6172928693364,2989169.3
10,1,Chr2,0.000131657603965093,0.999999999999989,0.970627527589834,structured,4.45633669057111,2989169.3
10,1,Chr2,9.94165704706124e-05,0.956016441906798,0.926643969496643,structured,5.26197115457776,2989169.3
10,1,Chr2,6.28735574580905e-05,0.937474098422286,0.908101626012131,structured,4.86154232355976,2989169.3
