label,D,Q,grid,thr,n_cells
A01_Chr1:27.28-27.28Mb,0.0914285714285714,0.0914285714285714,full,rec25,175
A02_Chr1:21.50-21.93Mb*inv,0.12,0.12,full,rec25,175
A03_Chr3:13.03-13.03Mb,0.0342857142857143,0.0342857142857143,full,rec25,175
A04_Chr4:22.51-22.51Mb,0.148571428571429,0.148571428571429,full,rec25,175
A05_Chr4:25.67-25.99Mb,0.0514285714285714,0.0514285714285714,full,rec25,175
A06_Chr4:27.55-27.55Mb,0.285714285714286,0.285714285714286,full,rec25,175
A07_Chr4:12.81-12.81Mb*Eda,0.137142857142857,0.137142857142857,full,rec25,175
A08_Chr5:2.48-2.50Mb,0.194285714285714,0.194285714285714,full,rec25,175
A09_Chr7:11.55-11.66Mb,0.262857142857143,0.262857142857143,full,rec25,175
A10_Chr12:15.55-15.55Mb,0.0742857142857143,0.0742857142857143,full,rec25,175
A11_Chr12:16.52-16.55Mb,0.12,0.12,full,rec25,175
A12_Chr17:6.55-6.77Mb,0.32,0.32,full,rec25,175
A13_Chr17:9.94-9.94Mb,0.125714285714286,0.125714285714286,full,rec25,175
A14_Chr18:5.61-5.61Mb,0.142857142857143,0.142857142857143,full,rec25,175
A15_Chr20:0.18-0.26Mb,0.205714285714286,0.205714285714286,full,rec25,175
A16_Chr20:3.67-3.67Mb,0.114285714285714,0.114285714285714,full,rec25,175
A17_Chr20:8.89-8.90Mb,0.0571428571428571,0.0571428571428571,full,rec25,175
A01_Chr1:27.28-27.28Mb,0.0628571428571429,0.0628571428571429,full,rec50,175
A02_Chr1:21.50-21.93Mb*inv,0.12,0.12,full,rec50,175
A03_Chr3:13.03-13.03Mb,0.0342857142857143,0.0342857142857143,full,rec50,175
A04_Chr4:22.51-22.51Mb,0.142857142857143,0.142857142857143,full,rec50,175
A05_Chr4:25.67-25.99Mb,0.0342857142857143,0.0342857142857143,full,rec50,175
A06_Chr4:27.55-27.55Mb,0.171428571428571,0.171428571428571,full,rec50,175
A07_Chr4:12.81-12.81Mb*Eda,0.0685714285714286,0.0685714285714286,full,rec50,175
A08_Chr5:2.48-2.50Mb,0.148571428571429,0.148571428571429,full,rec50,175
A09_Chr7:11.55-11.66Mb,0.0914285714285714,0.0914285714285714,full,rec50,175
A10_Chr12:15.55-15.55Mb,0.0571428571428571,0.0571428571428571,full,rec50,175
A11_Chr12:16.52-16.55Mb,0.0742857142857143,0.0742857142857143,full,rec50,175
A12_Chr17:6.55-6.77Mb,0.0685714285714286,0.0685714285714286,full,rec50,175
A13_Chr17:9.94-9.94Mb,0.0742857142857143,0.0742857142857143,full,rec50,175
A14_Chr18:5.61-5.61Mb,0.108571428571429,0.108571428571429,full,rec50,175
A15_Chr20:0.18-0.26Mb,0.12,0.12,full,rec50,175
A16_Chr20:3.67-3.67Mb,0.0514285714285714,0.0514285714285714,full,rec50,175
A17_Chr20:8.89-8.90Mb,0.0514285714285714,0.0514285714285714,full,rec50,175
A01_Chr1:27.28-27.28Mb,0.0514285714285714,0.0514285714285714,full,rec75,175
A02_Chr1:21.50-21.93Mb*inv,0.12,0.12,full,rec75,175
A03_Chr3:13.03-13.03Mb,0.0342857142857143,0.0342857142857143,full,rec75,175
A04_Chr4:22.51-22.51Mb,0.142857142857143,0.142857142857143,full,rec75,175
A05_Chr4:25.67-25.99Mb,0.0342857142857143,0.0342857142857143,full,rec75,175
A06_Chr4:27.55-27.55Mb,0.171428571428571,0.171428571428571,full,rec75,175
A07_Chr4:12.81-12.81Mb*Eda,0.0571428571428571,0.0571428571428571,full,rec75,175
A08_Chr5:2.48-2.50Mb,0.12,0.12,full,rec75,175
A09_Chr7:11.55-11.66Mb,0.0685714285714286,0.0685714285714286,full,rec75,175
A10_Chr12:15.55-15.55Mb,0.0571428571428571,0.0571428571428571,full,rec75,175
A11_Chr12:16.52-16.55Mb,0.0742857142857143,0.0742857142857143,full,rec75,175
A12_Chr17:6.55-6.77Mb,0.0685714285714286,0.0685714285714286,full,rec75,175
A13_Chr17:9.94-9.94Mb,0.0742857142857143,0.0742857142857143,full,rec75,175
A14_Chr18:5.61-5.61Mb,0.0971428571428571,0.0971428571428571,full,rec75,175
A15_Chr20:0.18-0.26Mb,0.12,0.12,full,rec75,175
A16_Chr20:3.67-3.67Mb,0.0514285714285714,0.0514285714285714,full,rec75,175
A17_Chr20:8.89-8.90Mb,0.0514285714285714,0.0514285714285714,full,rec75,175
A01_Chr1:27.28-27.28Mb,0,0,P20,rec25,116
A02_Chr1:21.50-21.93Mb*inv,0.103448275862069,0.103448275862069,P20,rec25,116
A03_Chr3:13.03-13.03Mb,0,0,P20,rec25,116
A04_Chr4:22.51-22.51Mb,0.00862068965517241,0.00862068965517241,P20,rec25,116
A05_Chr4:25.67-25.99Mb,0,0,P20,rec25,116
A06_Chr4:27.55-27.55Mb,0.0258620689655172,0.0258620689655172,P20,rec25,116
A07_Chr4:12.81-12.81Mb*Eda,0.0344827586206897,0.0344827586206897,P20,rec25,116
A08_Chr5:2.48-2.50Mb,0.137931034482759,0.137931034482759,P20,rec25,116
A09_Chr7:11.55-11.66Mb,0.0948275862068965,0.0948275862068965,P20,rec25,116
A10_Chr12:15.55-15.55Mb,0.00862068965517241,0.00862068965517241,P20,rec25,116
A11_Chr12:16.52-16.55Mb,0.0344827586206897,0.0344827586206897,P20,rec25,116
A12_Chr17:6.55-6.77Mb,0.0258620689655172,0.0258620689655172,P20,rec25,116
A13_Chr17:9.94-9.94Mb,0.0344827586206897,0.0344827586206897,P20,rec25,116
A14_Chr18:5.61-5.61Mb,0.0172413793103448,0.0172413793103448,P20,rec25,116
A15_Chr20:0.18-0.26Mb,0.155172413793103,0.155172413793103,P20,rec25,116
A16_Chr20:3.67-3.67Mb,0,0,P20,rec25,116
A17_Chr20:8.89-8.90Mb,0.0258620689655172,0.0258620689655172,P20,rec25,116
A01_Chr1:27.28-27.28Mb,0,0,P20,rec50,116
A02_Chr1:21.50-21.93Mb*inv,0.103448275862069,0.103448275862069,P20,rec50,116
A03_Chr3:13.03-13.03Mb,0,0,P20,rec50,116
A04_Chr4:22.51-22.51Mb,0.00862068965517241,0.00862068965517241,P20,rec50,116
A05_Chr4:25.67-25.99Mb,0,0,P20,rec50,116
A06_Chr4:27.55-27.55Mb,0.0258620689655172,0.0258620689655172,P20,rec50,116
A07_Chr4:12.81-12.81Mb*Eda,0.0344827586206897,0.0344827586206897,P20,rec50,116
A08_Chr5:2.48-2.50Mb,0.120689655172414,0.120689655172414,P20,rec50,116
A09_Chr7:11.55-11.66Mb,0.0603448275862069,0.0603448275862069,P20,rec50,116
A10_Chr12:15.55-15.55Mb,0.00862068965517241,0.00862068965517241,P20,rec50,116
A11_Chr12:16.52-16.55Mb,0.0344827586206897,0.0344827586206897,P20,rec50,116
A12_Chr17:6.55-6.77Mb,0.0258620689655172,0.0258620689655172,P20,rec50,116
A13_Chr17:9.94-9.94Mb,0.0344827586206897,0.0344827586206897,P20,rec50,116
A14_Chr18:5.61-5.61Mb,0.0172413793103448,0.0172413793103448,P20,rec50,116
