label,D_any,D_ovl50,D_rec50,D_span,Q_any,Q_ovl50,Q_rec50,Q_span
A02_Chr1:21.50-21.93Mb*inv,0.765714285714286,0.765714285714286,0.12,0.765714285714286,0.765714285714286,0.765714285714286,0.12,0.765714285714286
A15_Chr20:0.18-0.26Mb,0.571428571428571,0.571428571428571,0.12,0.571428571428571,0.571428571428571,0.571428571428571,0.12,0.571428571428571
A09_Chr7:11.55-11.66Mb,0.388571428571429,0.388571428571429,0.0914285714285714,0.388571428571429,0.388571428571429,0.388571428571429,0.0914285714285714,0.388571428571429
A08_Chr5:2.48-2.50Mb,0.342857142857143,0.342857142857143,0.148571428571429,0.342857142857143,0.342857142857143,0.342857142857143,0.148571428571429,0.342857142857143
A12_Chr17:6.55-6.77Mb,0.32,0.32,0.0685714285714286,0.32,0.32,0.32,0.0685714285714286,0.32
A06_Chr4:27.55-27.55Mb,0.297142857142857,0.297142857142857,0.171428571428571,0.297142857142857,0.297142857142857,0.297142857142857,0.171428571428571,0.297142857142857
A13_Chr17:9.94-9.94Mb,0.268571428571429,0.268571428571429,0.0742857142857143,0.268571428571429,0.268571428571429,0.268571428571429,0.0742857142857143,0.268571428571429
A11_Chr12:16.52-16.55Mb,0.194285714285714,0.194285714285714,0.0742857142857143,0.194285714285714,0.194285714285714,0.194285714285714,0.0742857142857143,0.194285714285714
A04_Chr4:22.51-22.51Mb,0.148571428571429,0.148571428571429,0.142857142857143,0.148571428571429,0.148571428571429,0.148571428571429,0.142857142857143,0.148571428571429
A14_Chr18:5.61-5.61Mb,0.142857142857143,0.142857142857143,0.108571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0.108571428571429,0.142857142857143
A07_Chr4:12.81-12.81Mb*Eda,0.137142857142857,0.137142857142857,0.0685714285714286,0.137142857142857,0.137142857142857,0.137142857142857,0.0685714285714286,0.137142857142857
A16_Chr20:3.67-3.67Mb,0.114285714285714,0.114285714285714,0.0514285714285714,0.114285714285714,0.114285714285714,0.114285714285714,0.0514285714285714,0.114285714285714
A01_Chr1:27.28-27.28Mb,0.0914285714285714,0.0914285714285714,0.0628571428571429,0.0914285714285714,0.0914285714285714,0.0914285714285714,0.0628571428571429,0.0914285714285714
A10_Chr12:15.55-15.55Mb,0.0742857142857143,0.0742857142857143,0.0571428571428571,0.0742857142857143,0.0742857142857143,0.0742857142857143,0.0571428571428571,0.0742857142857143
A17_Chr20:8.89-8.90Mb,0.0571428571428571,0.0571428571428571,0.0514285714285714,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0514285714285714,0.0571428571428571
A05_Chr4:25.67-25.99Mb,0.0514285714285714,0.0514285714285714,0.0342857142857143,0.0514285714285714,0.0514285714285714,0.0514285714285714,0.0342857142857143,0.0514285714285714
A03_Chr3:13.03-13.03Mb,0.0342857142857143,0.0342857142857143,0.0342857142857143,0.0342857142857143,0.0342857142857143,0.0342857142857143,0.0342857142857143,0.0342857142857143
